date,category,region,units_sold,revenue
2025-01-06,Books,North,1,17.67
2025-01-06,Home & Garden,West,2,78.81
2025-01-06,Electronics,West,2,209.37
2025-01-06,Home & Garden,West,3,59.86
2025-01-06,Home & Garden,North,2,45.76
2025-01-06,Clothing,East,2,41.97
2025-01-06,Home & Garden,South,2,70.06
2025-01-06,Clothing,South,3,42.32
2025-01-07,Clothing,East,1,49.27
2025-01-07,Clothing,West,3,37.36
2025-01-07,Home & Garden,East,4,62.12
2025-01-07,Sports,East,4,76.23
2025-01-07,Clothing,East,1,39.81
2025-01-07,Sports,South,4,77.12
2025-01-07,Electronics,West,3,172.57
2025-01-07,Electronics,South,1,205.62
2025-01-07,Electronics,East,3,126.47
2025-01-07,Home & Garden,West,1,68.18
2025-01-07,Electronics,East,3,100.13
2025-01-07,Books,West,2,19.21
2025-01-07,Clothing,South,4,34.52
2025-01-07,Clothing,South,3,44.5
2025-01-07,Clothing,North,3,49.6
2025-01-07,Sports,North,4,87.26
2025-01-07,Sports,East,3,84.17
2025-01-07,Home & Garden,North,2,56.12
2025-01-07,Sports,North,2,72.84
2025-01-07,Electronics,South,1,154.86
2025-01-07,Electronics,West,1,137.97
2025-01-07,Home & Garden,South,3,70.45
2025-01-07,Electronics,South,4,134.7
2025-01-07,Clothing,West,2,43.87
2025-01-07,Sports,East,3,72.26
2025-01-07,Clothing,South,4,49.56
2025-01-07,Home & Garden,West,3,62.78
2025-01-07,Clothing,West,2,43.0
2025-01-08,Sports,South,2,60.79
2025-01-08,Home & Garden,West,4,60.58
2025-01-08,Electronics,North,2,200.36
2025-01-08,Electronics,East,4,195.2
2025-01-08,Home & Garden,North,3,59.51
2025-01-08,Electronics,North,3,185.5
2025-01-08,Books,West,3,21.41
2025-01-08,Sports,East,4,44.79
2025-01-08,Books,East,4,15.14
2025-01-08,Electronics,East,3,148.53
2025-01-08,Clothing,West,3,55.99
2025-01-08,Books,North,2,22.96
2025-01-08,Clothing,East,2,33.92
2025-01-08,Electronics,East,4,166.28
2025-01-08,Books,West,2,13.23
2025-01-08,Home & Garden,North,4,71.61
2025-01-08,Clothing,East,4,48.75
2025-01-08,Sports,North,1,52.41
2025-01-08,Electronics,South,1,186.73
2025-01-08,Clothing,East,4,39.63
2025-01-08,Clothing,South,4,46.72
2025-01-08,Electronics,North,3,168.44
2025-01-08,Electronics,West,3,163.6
2025-01-08,Electronics,West,2,169.22
2025-01-08,Clothing,South,1,28.77
2025-01-08,Home & Garden,West,4,56.47
2025-01-08,Clothing,South,2,43.15
2025-01-08,Sports,West,1,76.24
2025-01-08,Home & Garden,South,3,66.43
2025-01-09,Electronics,West,3,171.28
2025-01-09,Clothing,North,1,33.39
2025-01-09,Books,South,2,23.04
2025-01-09,Home & Garden,North,2,50.18
2025-01-09,Electronics,North,4,156.89
2025-01-09,Home & Garden,East,4,57.21
2025-01-09,Sports,West,4,60.66
2025-01-09,Sports,South,3,52.21
2025-01-09,Books,South,4,16.63
2025-01-09,Clothing,East,1,46.94
2025-01-09,Electronics,South,1,203.02
2025-01-09,Sports,North,1,74.21
2025-01-09,Sports,East,3,68.4
2025-01-09,Home & Garden,South,3,71.43
2025-01-09,Sports,East,2,64.89
2025-01-09,Electronics,West,2,201.8
2025-01-09,Clothing,North,4,42.23
2025-01-09,Home & Garden,East,4,68.72
2025-01-09,Electronics,West,1,159.23
2025-01-09,Electronics,North,2,155.64
2025-01-09,Home & Garden,East,4,57.92
2025-01-09,Home & Garden,North,4,69.6
2025-01-09,Electronics,East,2,195.52
2025-01-09,Home & Garden,South,2,60.01
2025-01-09,Sports,North,1,70.03
2025-01-09,Home & Garden,East,2,46.03
2025-01-09,Sports,South,3,59.4
2025-01-09,Home & Garden,South,4,39.56
2025-01-10,Clothing,South,1,47.02
2025-01-10,Books,South,1,15.01
2025-01-10,Clothing,North,1,48.83
2025-01-10,Electronics,North,4,184.73
2025-01-10,Electronics,West,1,136.6
2025-01-10,Clothing,South,1,53.15
2025-01-10,Clothing,East,4,45.78
2025-01-10,Sports,East,3,75.61
2025-01-10,Sports,West,4,70.3
2025-01-10,Books,East,2,23.59
2025-01-10,Books,North,2,15.55
2025-01-10,Home & Garden,East,4,64.14
2025-01-10,Electronics,East,2,200.48
2025-01-10,Electronics,West,1,132.17
2025-01-10,Electronics,East,1,145.81
2025-01-10,Clothing,South,3,54.31
2025-01-10,Sports,North,3,70.3
2025-01-10,Electronics,East,3,191.2
2025-01-10,Clothing,North,4,44.77
2025-01-10,Electronics,East,4,204.65
2025-01-10,Electronics,East,4,181.65
2025-01-10,Clothing,North,3,44.09
2025-01-10,Electronics,South,3,194.29
2025-01-10,Clothing,West,4,44.28
2025-01-10,Clothing,North,1,52.05
2025-01-10,Electronics,East,3,151.12
2025-01-11,Clothing,South,4,54.64
2025-01-11,Sports,East,1,57.95
2025-01-11,Clothing,South,1,44.41
2025-01-11,Clothing,West,4,42.34
2025-01-11,Sports,North,1,66.95
2025-01-11,Electronics,East,2,151.88
2025-01-11,Electronics,North,2,151.26
2025-01-11,Clothing,South,3,46.0
2025-01-11,Clothing,South,3,54.14
2025-01-11,Sports,East,2,87.93
2025-01-11,Books,North,4,16.25
2025-01-11,Electronics,West,2,222.42
2025-01-11,Electronics,East,4,235.54
2025-01-11,Clothing,South,3,45.16
2025-01-11,Home & Garden,South,3,90.18
2025-01-11,Home & Garden,East,3,69.94
2025-01-11,Home & Garden,West,2,69.39
2025-01-11,Home & Garden,South,2,61.19
2025-01-11,Clothing,North,1,32.49
2025-01-11,Electronics,West,2,143.56
2025-01-11,Sports,West,2,63.83
2025-01-11,Electronics,North,1,172.01
2025-01-11,Electronics,South,1,190.86
2025-01-11,Books,South,3,18.49
2025-01-11,Electronics,South,1,182.86
2025-01-11,Sports,South,4,70.94
2025-01-11,Books,West,2,15.27
2025-01-11,Electronics,West,4,191.13
2025-01-12,Clothing,South,1,34.1
2025-01-12,Clothing,South,3,43.0
2025-01-12,Electronics,South,1,212.08
2025-01-12,Clothing,East,3,49.1
2025-01-12,Home & Garden,West,2,62.02
2025-01-12,Sports,North,1,64.61
2025-01-12,Electronics,North,4,148.14
2025-01-12,Electronics,North,4,162.58
2025-01-12,Home & Garden,North,2,55.38
2025-01-12,Clothing,North,4,55.68
2025-01-12,Clothing,East,1,32.89
2025-01-12,Electronics,North,4,186.52
2025-01-12,Sports,South,3,91.38
2025-01-12,Clothing,South,3,44.21
2025-01-12,Electronics,South,1,195.56
2025-01-12,Home & Garden,West,4,63.92
2025-01-12,Clothing,West,1,45.21
2025-01-12,Electronics,South,1,189.06
2025-01-12,Home & Garden,West,3,72.08
2025-01-12,Home & Garden,East,3,64.16
2025-01-12,Books,North,4,8.3
2025-01-12,Home & Garden,West,1,65.46
2025-01-13,Electronics,South,1,217.71
2025-01-13,Clothing,West,3,45.13
2025-01-13,Electronics,West,3,184.13
2025-01-13,Clothing,South,3,44.91
2025-01-13,Electronics,West,2,160.48
2025-01-13,Electronics,South,4,172.92
2025-01-13,Home & Garden,East,3,65.76
2025-01-13,Clothing,South,2,52.63
2025-01-13,Clothing,East,3,48.15
2025-01-13,Home & Garden,West,1,62.27
2025-01-13,Sports,East,4,76.88
2025-01-13,Sports,South,4,67.04
2025-01-13,Home & Garden,East,3,73.55
2025-01-13,Clothing,South,4,44.4
2025-01-13,Clothing,East,3,45.97
2025-01-13,Home & Garden,West,2,59.66
2025-01-13,Home & Garden,South,2,65.92
2025-01-13,Electronics,North,1,198.74
2025-01-13,Clothing,East,4,47.71
2025-01-13,Electronics,South,4,167.02
2025-01-13,Electronics,West,1,152.93
2025-01-13,Electronics,North,2,171.46
2025-01-13,Clothing,South,3,47.29
2025-01-13,Clothing,North,4,30.87
2025-01-13,Clothing,West,2,45.39
2025-01-13,Home & Garden,East,3,70.92
2025-01-13,Clothing,South,3,48.43
2025-01-13,Sports,South,2,80.62
2025-01-13,Books,South,2,19.89
2025-01-13,Clothing,South,2,49.88
2025-01-13,Home & Garden,East,2,52.44
2025-01-13,Books,West,4,15.47
2025-01-14,Clothing,West,4,45.9
2025-01-14,Home & Garden,East,2,73.5
2025-01-14,Clothing,East,2,45.96
2025-01-14,Clothing,South,2,55.01
2025-01-14,Sports,South,4,63.46
2025-01-14,Electronics,North,2,192.96
2025-01-14,Sports,North,1,68.17
2025-01-14,Electronics,North,2,137.47
2025-01-14,Electronics,West,1,216.37
2025-01-14,Clothing,West,4,54.88
2025-01-14,Electronics,West,1,192.35
2025-01-14,Electronics,South,4,169.57
2025-01-14,Electronics,East,4,198.33
2025-01-14,Home & Garden,East,3,60.29
2025-01-14,Clothing,West,3,40.71
2025-01-14,Books,North,3,22.34
2025-01-14,Clothing,North,4,53.57
2025-01-14,Home & Garden,North,2,65.61
2025-01-14,Clothing,West,2,49.9
2025-01-14,Sports,West,4,83.98
2025-01-14,Home & Garden,North,3,57.76
2025-01-14,Home & Garden,North,4,61.13
2025-01-14,Sports,West,1,66.44
2025-01-14,Clothing,South,1,48.21
2025-01-14,Electronics,North,2,174.24
2025-01-14,Electronics,South,3,228.62
2025-01-14,Electronics,North,1,123.8
2025-01-14,Sports,East,3,63.02
2025-01-14,Electronics,South,2,215.54
2025-01-14,Electronics,South,4,178.22
2025-01-14,Sports,East,2,45.8
2025-01-14,Electronics,East,1,181.02
2025-01-14,Electronics,West,1,170.22
2025-01-14,Electronics,North,4,185.62
2025-01-14,Books,West,1,16.54
2025-01-14,Home & Garden,West,2,60.22
2025-01-14,Books,West,4,14.22
2025-01-14,Electronics,South,3,173.73
2025-01-14,Clothing,North,3,39.33
2025-01-15,Clothing,West,3,42.38
2025-01-15,Clothing,North,3,32.24
2025-01-15,Home & Garden,South,1,59.46
2025-01-15,Clothing,West,4,46.18
2025-01-15,Clothing,South,2,36.22
2025-01-15,Clothing,East,2,49.46
2025-01-15,Electronics,North,4,172.11
2025-01-15,Electronics,East,1,176.85
2025-01-15,Home & Garden,South,2,57.91
2025-01-15,Electronics,North,2,233.81
2025-01-15,Clothing,North,4,55.23
2025-01-15,Electronics,North,3,167.5
2025-01-15,Electronics,North,1,163.04
2025-01-15,Home & Garden,South,3,52.28
2025-01-15,Electronics,South,2,204.71
2025-01-15,Sports,North,3,62.74
2025-01-15,Electronics,North,2,131.6
2025-01-15,Electronics,East,4,216.58
2025-01-15,Sports,West,1,74.59
2025-01-15,Electronics,West,1,194.87
2025-01-15,Books,South,4,19.58
2025-01-15,Electronics,West,2,150.25
2025-01-15,Home & Garden,South,4,39.58
2025-01-15,Home & Garden,South,2,53.07
2025-01-16,Home & Garden,North,1,74.26
2025-01-16,Sports,North,3,88.03
2025-01-16,Home & Garden,South,2,60.85
2025-01-16,Books,West,4,17.61
2025-01-16,Home & Garden,South,2,73.95
2025-01-16,Home & Garden,South,3,53.69
2025-01-16,Home & Garden,West,2,59.89
2025-01-16,Electronics,South,1,207.81
2025-01-16,Home & Garden,West,1,56.2
2025-01-16,Sports,East,2,61.47
2025-01-16,Books,North,3,19.68
2025-01-16,Electronics,East,4,170.56
2025-01-16,Books,West,3,18.14
2025-01-16,Electronics,West,3,190.58
2025-01-16,Electronics,South,3,121.88
2025-01-16,Home & Garden,North,2,60.79
2025-01-16,Sports,West,2,70.04
2025-01-16,Home & Garden,West,3,61.77
2025-01-17,Sports,North,1,47.85
2025-01-17,Books,East,4,13.8
2025-01-17,Electronics,West,4,154.59
2025-01-17,Home & Garden,West,2,37.24
2025-01-17,Home & Garden,West,3,57.99
2025-01-17,Clothing,West,4,53.55
2025-01-17,Home & Garden,South,4,49.59
2025-01-17,Sports,West,3,74.56
2025-01-17,Sports,South,4,68.16
2025-01-17,Home & Garden,East,3,71.01
2025-01-17,Clothing,North,4,45.04
2025-01-17,Electronics,East,4,207.0
2025-01-17,Electronics,East,3,177.41
2025-01-17,Home & Garden,North,3,50.54
2025-01-17,Home & Garden,West,2,63.98
2025-01-17,Electronics,West,4,198.6
2025-01-17,Clothing,West,1,39.78
2025-01-17,Electronics,South,2,166.48
2025-01-17,Books,West,1,18.96
2025-01-17,Home & Garden,East,2,59.27
2025-01-17,Books,North,4,14.57
2025-01-17,Electronics,North,4,232.63
2025-01-17,Clothing,North,4,41.75
2025-01-17,Home & Garden,East,4,56.84
2025-01-17,Books,North,4,20.41
2025-01-17,Electronics,North,1,150.21
2025-01-17,Sports,North,3,80.42
2025-01-17,Books,West,2,19.17
2025-01-17,Electronics,West,2,190.65
2025-01-17,Clothing,East,1,47.17
2025-01-17,Clothing,West,2,25.76
2025-01-18,Home & Garden,South,2,62.03
2025-01-18,Electronics,East,1,192.77
2025-01-18,Home & Garden,North,4,74.73
2025-01-18,Electronics,South,1,132.0
2025-01-18,Books,West,1,17.85
2025-01-18,Books,West,4,21.61
2025-01-18,Electronics,South,1,169.98
2025-01-18,Electronics,North,3,190.55
2025-01-18,Clothing,East,3,49.41
2025-01-18,Sports,West,3,54.58
2025-01-18,Books,North,2,16.01
2025-01-18,Electronics,South,2,210.24
2025-01-18,Home & Garden,South,4,59.25
2025-01-18,Electronics,East,2,188.5
2025-01-18,Clothing,North,2,52.22
2025-01-18,Clothing,West,1,44.01
2025-01-18,Electronics,West,1,138.49
2025-01-18,Clothing,North,3,42.85
2025-01-18,Books,North,2,21.44
2025-01-18,Home & Garden,West,1,48.41
2025-01-18,Electronics,East,3,191.49
2025-01-18,Books,North,2,17.51
2025-01-18,Home & Garden,East,1,65.85
2025-01-18,Clothing,East,4,55.97
2025-01-18,Clothing,North,4,46.5
2025-01-18,Home & Garden,South,3,70.01
2025-01-19,Home & Garden,West,3,65.4
2025-01-19,Clothing,West,2,37.03
2025-01-19,Electronics,South,2,134.89
2025-01-19,Electronics,North,1,183.19
2025-01-19,Sports,East,3,69.64
2025-01-19,Books,North,2,17.28
2025-01-19,Electronics,North,1,199.06
2025-01-19,Sports,West,4,79.71
2025-01-19,Home & Garden,North,4,48.58
2025-01-19,Electronics,North,2,166.59
2025-01-19,Clothing,North,1,38.51
2025-01-19,Home & Garden,North,3,64.15
2025-01-19,Sports,East,2,58.73
2025-01-19,Electronics,West,1,220.04
2025-01-19,Home & Garden,North,3,65.76
2025-01-19,Sports,North,1,92.77
2025-01-19,Electronics,South,3,198.65
2025-01-19,Home & Garden,South,3,45.75
2025-01-19,Books,West,3,21.97
2025-01-19,Sports,East,2,57.81
2025-01-19,Sports,East,3,69.37
2025-01-19,Home & Garden,West,3,72.18
2025-01-19,Home & Garden,North,2,66.85
2025-01-19,Clothing,South,3,52.64
2025-01-19,Electronics,West,1,157.14
2025-01-19,Sports,West,3,61.42
2025-01-19,Sports,West,1,80.38
2025-01-19,Electronics,South,3,221.11
2025-01-19,Home & Garden,West,3,53.81
2025-01-19,Electronics,South,3,140.41
2025-01-19,Books,North,1,17.35
2025-01-19,Clothing,West,3,40.87
2025-01-19,Sports,North,4,69.82
2025-01-19,Electronics,West,4,161.07
2025-01-19,Electronics,West,2,166.08
2025-01-19,Electronics,West,4,203.65
2025-01-19,Electronics,South,3,177.5
2025-01-19,Home & Garden,West,4,47.84
2025-01-20,Electronics,East,3,120.82
2025-01-20,Electronics,North,1,176.75
2025-01-20,Sports,West,1,69.09
2025-01-20,Clothing,North,2,51.62
2025-01-20,Electronics,East,2,143.28
2025-01-20,Sports,East,3,62.65
2025-01-20,Books,North,2,18.96
2025-01-20,Books,North,1,15.19
2025-01-20,Sports,West,1,83.69
2025-01-20,Electronics,North,1,217.75
2025-01-20,Electronics,North,4,174.99
2025-01-20,Sports,East,2,67.69
2025-01-20,Electronics,South,1,162.5
2025-01-20,Home & Garden,West,1,44.23
2025-01-20,Home & Garden,South,1,65.52
2025-01-20,Clothing,South,4,53.2
2025-01-20,Books,East,4,11.73
2025-01-20,Electronics,East,1,210.15
2025-01-20,Home & Garden,North,3,61.62
2025-01-20,Electronics,North,4,210.33
2025-01-21,Home & Garden,East,1,60.39
2025-01-21,Clothing,East,1,48.65
2025-01-21,Electronics,East,4,198.54
2025-01-21,Clothing,North,3,44.43
2025-01-21,Home & Garden,East,4,54.03
2025-01-21,Electronics,West,2,195.5
2025-01-21,Clothing,East,2,34.6
2025-01-21,Books,West,4,20.14
2025-01-21,Books,West,2,15.11
2025-01-21,Home & Garden,East,1,71.09
2025-01-21,Home & Garden,North,1,60.33
2025-01-21,Sports,South,3,69.42
2025-01-21,Sports,West,1,75.12
2025-01-21,Home & Garden,West,2,69.26
2025-01-21,Sports,East,2,67.41
2025-01-21,Clothing,North,3,41.59
2025-01-21,Electronics,South,4,198.32
2025-01-22,Electronics,West,2,204.69
2025-01-22,Electronics,South,3,176.78
2025-01-22,Sports,North,3,72.27
2025-01-22,Electronics,East,3,168.35
2025-01-22,Electronics,West,1,186.52
2025-01-22,Books,South,3,18.48
2025-01-22,Clothing,West,3,58.16
2025-01-22,Home & Garden,North,3,69.61
2025-01-22,Sports,West,4,46.36
2025-01-22,Clothing,North,1,38.37
2025-01-22,Books,East,4,16.66
2025-01-22,Electronics,South,1,209.42
2025-01-22,Electronics,South,1,233.2
2025-01-22,Electronics,North,1,155.46
2025-01-22,Clothing,North,4,45.5
2025-01-22,Sports,South,3,68.12
2025-01-22,Clothing,South,2,51.46
2025-01-22,Home & Garden,North,1,52.91
2025-01-22,Electronics,South,1,221.1
2025-01-22,Sports,East,2,77.47
2025-01-22,Sports,West,1,73.7
2025-01-22,Home & Garden,West,1,53.32
2025-01-22,Books,North,2,16.56
2025-01-22,Electronics,South,3,227.41
2025-01-22,Clothing,North,3,45.73
2025-01-22,Clothing,East,3,40.97
2025-01-22,Electronics,West,2,177.07
2025-01-22,Electronics,West,1,156.07
2025-01-22,Clothing,West,1,43.14
2025-01-22,Clothing,North,4,36.46
2025-01-22,Home & Garden,North,3,63.02
2025-01-22,Home & Garden,West,3,50.18
2025-01-22,Clothing,North,1,45.9
2025-01-22,Home & Garden,East,4,66.55
2025-01-22,Home & Garden,West,4,45.92
2025-01-22,Electronics,South,1,135.97
2025-01-23,Home & Garden,North,3,57.62
2025-01-23,Electronics,East,4,172.15
2025-01-23,Books,North,2,16.9
2025-01-23,Home & Garden,East,2,57.59
2025-01-23,Sports,South,1,50.12
2025-01-23,Clothing,West,2,45.53
2025-01-23,Books,West,3,12.74
2025-01-23,Electronics,South,3,185.66
2025-01-23,Books,East,1,20.64
2025-01-23,Clothing,East,2,30.95
2025-01-23,Electronics,West,3,198.54
2025-01-23,Home & Garden,West,1,68.13
2025-01-23,Books,West,3,17.49
2025-01-23,Electronics,West,3,150.69
2025-01-23,Clothing,East,3,45.86
2025-01-23,Home & Garden,East,4,73.73
2025-01-23,Home & Garden,South,2,60.44
2025-01-23,Sports,North,1,56.57
2025-01-23,Sports,North,1,58.59
2025-01-23,Home & Garden,North,2,54.54
2025-01-23,Electronics,East,1,199.29
2025-01-23,Clothing,North,1,44.11
2025-01-23,Electronics,West,1,143.1
2025-01-23,Home & Garden,South,2,73.13
2025-01-23,Sports,West,3,72.06
2025-01-23,Books,North,3,17.1
2025-01-23,Electronics,North,1,165.78
2025-01-23,Clothing,East,4,38.03
2025-01-23,Home & Garden,South,4,76.72
2025-01-24,Electronics,East,1,219.71
2025-01-24,Clothing,South,1,31.64
2025-01-24,Clothing,North,3,46.63
2025-01-24,Sports,North,3,81.24
2025-01-24,Home & Garden,East,3,40.84
2025-01-24,Electronics,West,1,138.95
2025-01-24,Home & Garden,North,1,50.62
2025-01-24,Books,South,1,19.75
2025-01-24,Electronics,South,4,149.55
2025-01-24,Electronics,West,4,168.32
2025-01-24,Books,North,4,19.49
2025-01-24,Electronics,North,4,213.41
2025-01-24,Clothing,South,2,52.23
2025-01-24,Electronics,East,3,151.37
2025-01-24,Clothing,North,4,52.94
2025-01-24,Clothing,East,2,41.31
2025-01-24,Clothing,North,2,50.24
2025-01-24,Electronics,East,2,157.63
2025-01-24,Clothing,North,1,56.16
2025-01-24,Home & Garden,North,4,54.23
2025-01-24,Clothing,South,4,45.91
2025-01-24,Clothing,East,4,42.69
2025-01-24,Electronics,East,3,156.39
2025-01-25,Home & Garden,North,1,61.79
2025-01-25,Home & Garden,South,3,55.26
2025-01-25,Sports,East,4,81.22
2025-01-25,Clothing,West,2,41.92
2025-01-25,Home & Garden,West,2,58.79
2025-01-25,Clothing,North,3,49.3
2025-01-25,Electronics,South,3,171.96
2025-01-25,Clothing,South,2,43.84
2025-01-25,Clothing,North,2,36.72
2025-01-25,Electronics,East,2,189.82
2025-01-25,Home & Garden,North,4,62.84
2025-01-25,Home & Garden,West,1,58.96
2025-01-25,Electronics,East,4,189.3
2025-01-25,Home & Garden,South,1,48.77
2025-01-25,Books,West,4,19.02
2025-01-25,Sports,East,4,75.69
2025-01-25,Clothing,West,4,42.3
2025-01-25,Electronics,West,4,165.46
2025-01-25,Electronics,East,1,145.09
2025-01-25,Electronics,West,1,153.19
2025-01-25,Home & Garden,West,1,49.65
2025-01-25,Home & Garden,West,3,61.18
2025-01-26,Electronics,West,3,165.66
2025-01-26,Home & Garden,North,4,61.42
2025-01-26,Books,West,2,18.19
2025-01-26,Sports,North,2,77.57
2025-01-26,Sports,West,2,66.38
2025-01-26,Books,North,1,20.21
2025-01-26,Electronics,South,2,204.19
2025-01-26,Clothing,South,1,39.12
2025-01-26,Electronics,East,2,202.07
2025-01-26,Clothing,South,2,36.46
2025-01-26,Sports,North,3,76.85
2025-01-26,Books,South,2,20.5
2025-01-26,Home & Garden,East,1,87.56
2025-01-26,Clothing,South,1,49.99
2025-01-26,Books,North,3,16.72
2025-01-26,Clothing,East,4,57.84
2025-01-26,Electronics,North,3,175.35
2025-01-26,Electronics,South,3,182.98
2025-01-26,Books,East,2,17.44
